Reaction Name                                           , Net Profit per Week, Net Profit (Instant Buy/Sell), Profit % (Instant), Net Profit (Order-based), Profit % (Order-based), Input Cost (Jita Sell), Output Revenue (Jita Buy), Input Cost (Jita Buy), Output Revenue (Jita Sell), Inputs                                                                                                                                                                                                  , Products
Crystalline Carbonide Reaction Formula                  , "25,658,880.00"    , "78,290.00"                  , 9.88%             , "213,824.00"            , 31.72%                , "792,150.00"          , "926,000.00"             , "674,100.00"         , "944,600.00"              , "Helium Fuel Block x5, Crystallite Alloy x100, Carbon Polymers x100"                                                                                                                                    , Crystalline Carbonide x10000
Isotropic Neofullerene Gamma-9 Reaction Formula         , "612,678,000.00"   , "759,830.00"                 , 4.57%             , "5,105,650.00"          , 31.42%                , "16,641,450.00"       , "18,512,000.00"          , "16,251,150.00"      , "22,720,000.00"           , "Tritanium x10000, Nitrogen Fuel Block x5, Fullerite-C50 x500, Fullerite-C72 x500, Isotropic Deposition Guide x1"                                                                                       , Isotropic Neofullerene Gamma-9 x20
Carbon-86 Epoxy Resin Reaction Formula                  , "225,281,040.00"   , "422,602.00"                 , 6.64%             , "1,877,342.00"          , 31.21%                , "6,364,950.00"        , "7,220,800.00"           , "6,015,650.00"       , "8,396,800.00"            , "Nitrogen Fuel Block x5, Zydrine x30, Fullerite-C32 x100, Fullerite-C320 x100"                                                                                                                          , Carbon-86 Epoxy Resin x160
Lanthanum Metallofullerene Reaction Formula             , "72,203,520.00"    , "-122,210.00"                , -5.81%            , "601,696.00"            , 30.33%                , "2,101,850.00"        , "2,106,000.00"           , "1,983,680.00"       , "2,750,400.00"            , "Oxygen Fuel Block x5, Fullerite-C70 x100, Fullerite-C84 x100, Nocxium x200"                                                                                                                            , Lanthanum Metallofullerene x120
Fullerene Intercalated Graphite Reaction Formula        , "49,345,680.00"    , "134,066.00"                 , 9.16%             , "411,214.00"            , 29.80%                , "1,464,310.00"        , "1,700,400.00"           , "1,380,050.00"       , "1,905,600.00"            , "Hydrogen Fuel Block x5, Fullerite-C60 x100, Fullerite-C70 x100, Mexallon x600"                                                                                                                         , Fullerene Intercalated Graphite x120
Isotropic Neofullerene Beta-6 Reaction Formula          , "667,134,000.00"   , "710,000.00"                 , 3.68%             , "5,559,450.00"          , 29.77%                , "19,293,200.00"       , "21,280,000.00"          , "18,673,750.00"      , "25,780,000.00"           , "Tritanium x10000, Hydrogen Fuel Block x5, Fullerite-C70 x500, Fullerite-C28 x500, Isotropic Deposition Guide x1"                                                                                       , Isotropic Neofullerene Beta-6 x20
Reinforced Carbon Fiber Reaction Formula                , "20,909,280.00"    , "18,740.00"                  , 2.46%             , "174,244.00"            , 27.17%                , "762,400.00"          , "831,000.00"             , "641,300.00"         , "867,600.00"              , "Carbon Fiber x200, Oxy-Organic Solvents x1, Thermosetting Polymer x200"                                                                                                                                , Reinforced Carbon Fiber x200
Caesarium Cadmide Reaction Formula                      , "36,504,000.00"    , "70,406.00"                  , 5.64%             , "304,200.00"            , 25.35%                , "1,247,850.00"        , "1,402,400.00"           , "1,199,800.00"       , "1,600,000.00"            , "Oxygen Fuel Block x5, Cadmium x100, Caesium x100"                                                                                                                                                      , Caesarium Cadmide x200
Rolled Tungsten Alloy Reaction Formula                  , "27,344,400.00"    , "90,414.00"                  , 9.39%             , "227,870.00"            , 24.98%                , "962,950.00"          , "1,120,600.00"           , "912,350.00"         , "1,213,000.00"            , "Nitrogen Fuel Block x5, Tungsten x100, Platinum x100"                                                                                                                                                  , Rolled Tungsten Alloy x200
Stress-Responding Neurolink Stabilizer Reaction Formula , "61,574,400.00"    , "-267,610.00"                , -10.60%           , "513,120.00"            , 23.46%                , "2,524,550.00"        , "2,401,000.00"           , "2,187,500.00"       , "2,873,000.00"            , "Oxygen Fuel Block x5, Viridian Cytoserocin x10, Celadon Cytoserocin x10, CV-Composite Molecular Condenser x1"                                                                                          , Stress-Responding Neurolink Stabilizer x10
Sense-Heuristic Neurolink Enhancer Reaction Formula     , "167,946,000.00"   , "-405,960.00"                , -5.79%            , "1,399,550.00"          , 21.76%                , "7,010,400.00"        , "7,026,000.00"           , "6,430,650.00"       , "8,330,000.00"            , "Hydrogen Fuel Block x5, Azure Mykoserocin x40, Vermillion Mykoserocin x40, AV-Composite Molecular Condenser x1"                                                                                        , Sense-Heuristic Neurolink Enhancer x20
Neo Mercurite Reaction Formula                          , "167,757,600.00"   , "688,710.00"                 , 10.43%            , "1,397,980.00"          , 21.60%                , "6,600,050.00"        , "7,754,000.00"           , "6,471,700.00"       , "8,372,000.00"            , "Helium Fuel Block x5, Mercury x100, Neodymium x100"                                                                                                                                                    , Neo Mercurite x200
